"id","name","type","value","created"
"rec_62550dfa998e0868a704ec9b","null","TXT","keybase-site-verification=SFd0aVuEPDRVFB4BUPK2JCur3eDwXz_8gpi_CIpMZAE","36d ago"
"rec_9976a272768d2fc3614900cb","autodiscover","CNAME","autodiscover.migadu.com.","37d ago"
"rec_a282a981aadb6fc45be412b3","autoconfig","CNAME","autoconfig.migadu.com.","37d ago"
"rec_9ff67878eac6873ca9c25661","_dmarc","TXT","v=DMARC1; p=reject;","37d ago"
"rec_085eca8d5640f7360388f29d","null","TXT","v=spf1 include:spf.migadu.com -all","37d ago"
"rec_b15e6848b458e5ec94274816","key3._domainkey","CNAME","key3.zfo.gg._domainkey.migadu.com.","37d ago"
"rec_5ce044562d7f83ce06e1e0b0","key2._domainkey","CNAME","key2.zfo.gg._domainkey.migadu.com.","37d ago"
"rec_0c4b481e982c8bb03ba1ee11","key1._domainkey","CNAME","key1.zfo.gg._domainkey.migadu.com.","37d ago"
"rec_358bbd5f8859dc1f1e33be51","null","TXT","hosted-email-verify=mukrve8x","37d ago"
"rec_NONE","null","ALIAS","alias.zeit.co.","default"
"rec_NONE","*","CNAME","alias.zeit.co.","default"
"rec_NONE","null","CAA","0 issue ""letsencrypt.org""","default"
"rec_af228f0f9b9c2a3531d022e2","null","TXT","google-site-verification=dmziL29aXSMYOjd-R2NOBJu9tsI0ke_9ym9JSj-lFLo","68d ago"
"rec_d839eb191b9a33e3b1fcaed7","null","MX","20 aspmx2.migadu.com.","276d ago"
"rec_cb45eb150a542b6df8bf3423","null","MX","10 aspmx1.migadu.com.","276d ago"
"rec_9705afadd3e5a3ee4d67a481","default._domainkey","TXT","'v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC4hKhwm99p0t0ewMzfcCOHI9WDe5ES6Hn2kRzf2zZ8lBfXe1ExxUgyyGNztq+HtxFJvsVY6xrZR0hVh3AFmM9zoPb7x7dVPuNoT8bKE7NJpXrahxYF+2WdlpHmcZ0QVbPsJy6cJiIJG5P51WOzepmdoslE9unSfqMCpTE5djKRwQIDAQAB'","276d ago"
